denom,amount
factory/unicorn167xpap77dtenxsq2lzdgx52ntnce2v4h8f72epdwwrak6jxemsrqprj4xm/upurplephat,1000000000
factory/unicorn16x8en3qd0xxeuaddlua7r5ysquz0m9xwp2yc9hfmqygmh0vj0r5sm8nf32/uspx,69000000000000
factory/unicorn175u0d6e96xyqch8jqqgc28u2mqsgp2jmu7hedwftxdlytjxt79xsdsxz7p/uinternet,1000000000000000
factory/unicorn18aen8nyuq43ellwwu4u53zl29ppj5acv4zn29whyykmcqa62kjhqguzgxk/umondo,1000000000000000
factory/unicorn1f4zd0d76l5cmhrks3ux6vep5qu4s8lrsjlrmz6u33jnwahuj4u6qkp9hkc/usyrupcity,42069000000000
factory/unicorn1jz02y53tmfyrultlahwgy7tv05602qpf7psvma34ul4kl8wzrexqtpsxu0/ugobber,1000000000000000
factory/unicorn1k8d05n3mx83am9c853390zctmnlq9sf0f2f5ythed0p6y6vff5fsaqpjxp/ujewnicorn,1000000000000000
factory/unicorn1lxmvzkqv8t2palwehetj0ntzh3996ffv5jwyrrz3lxveyqjgxgmsyuvn8w/uknightcore,1000000000000000
factory/unicorn1neh6dpnvw0whq4lun9jamysldnap28nllf3hs7akhzpaay2nawns6dv7ma/ufoose,1000000000000000
factory/unicorn1ntv9sccx6t90njy0uvarkqyk36ry2qttrd2p0c8eeqk60nr4krssd6wfu8/ukys,1000000000000000
factory/unicorn1pawhaxskmdkzvfgevs0dh4lxuctn4x8wt2sqyz95tgem9ne2nrwqjg6rvq/udiamond,1000000000
factory/unicorn1q7u6kr50e7ar25ry4vu6u9vegj8gfryaucz7szryke89v2pdpf3szq7n9q/ulawb,1000000000000000
factory/unicorn1qgyq8sun340s5wlyyu8356l9k0d22kgh85k243v2mns6v7q3l0qsrp9axs/ucrown,1000000
factory/unicorn1rn9f6ack3u8t3ed04pfaqpmh5zfp2m2ll4mkty/ualien,510000000000
factory/unicorn1rn9f6ack3u8t3ed04pfaqpmh5zfp2m2ll4mkty/ubear,400000000000000
factory/unicorn1rn9f6ack3u8t3ed04pfaqpmh5zfp2m2ll4mkty/ubearhearth,100000000000
factory/unicorn1rn9f6ack3u8t3ed04pfaqpmh5zfp2m2ll4mkty/ublackflag,69000000000000000
factory/unicorn1rn9f6ack3u8t3ed04pfaqpmh5zfp2m2ll4mkty/ublissful,60000000000000
factory/unicorn1rn9f6ack3u8t3ed04pfaqpmh5zfp2m2ll4mkty/ublowfish,210000000000000
